timestamp,platform,mode,payload_size_kb,elapsed_s,memory_mb,measurement_scope
2026-06-11T09:49:45Z,m1_dockerdesktop,process,1024,0.0,131.594,host_process_tree_rss
2026-06-11T09:49:46Z,m1_dockerdesktop,process,1024,1.01,136.047,host_process_tree_rss
2026-06-11T09:49:47Z,m1_dockerdesktop,process,1024,2.01,136.078,host_process_tree_rss
2026-06-11T09:49:48Z,m1_dockerdesktop,process,1024,3.01,136.078,host_process_tree_rss
2026-06-11T09:49:49Z,m1_dockerdesktop,process,1024,4.02,136.078,host_process_tree_rss
2026-06-11T09:49:50Z,m1_dockerdesktop,process,1024,5.02,136.078,host_process_tree_rss
2026-06-11T09:49:51Z,m1_dockerdesktop,process,1024,6.02,136.078,host_process_tree_rss
2026-06-11T09:49:52Z,m1_dockerdesktop,process,1024,7.02,136.078,host_process_tree_rss
2026-06-11T09:49:53Z,m1_dockerdesktop,process,1024,8.01,136.078,host_process_tree_rss
2026-06-11T09:49:54Z,m1_dockerdesktop,process,1024,9.01,136.078,host_process_tree_rss
2026-06-11T09:49:55Z,m1_dockerdesktop,process,1024,10.01,136.078,host_process_tree_rss
2026-06-11T09:49:56Z,m1_dockerdesktop,process,1024,11.01,136.078,host_process_tree_rss
2026-06-11T09:49:57Z,m1_dockerdesktop,process,1024,12.01,136.078,host_process_tree_rss
2026-06-11T09:49:58Z,m1_dockerdesktop,process,1024,13.01,131.0,host_process_tree_rss
2026-06-11T09:49:59Z,m1_dockerdesktop,process,1024,14.01,130.672,host_process_tree_rss
2026-06-11T09:50:00Z,m1_dockerdesktop,process,1024,15.02,127.594,host_process_tree_rss
2026-06-11T09:50:01Z,m1_dockerdesktop,process,1024,16.02,127.594,host_process_tree_rss
2026-06-11T09:50:02Z,m1_dockerdesktop,process,1024,17.01,117.547,host_process_tree_rss
2026-06-11T09:50:03Z,m1_dockerdesktop,process,1024,18.01,114.922,host_process_tree_rss
2026-06-11T09:50:04Z,m1_dockerdesktop,process,1024,19.02,114.922,host_process_tree_rss
2026-06-11T09:50:05Z,m1_dockerdesktop,process,1024,20.02,114.922,host_process_tree_rss
2026-06-11T09:50:06Z,m1_dockerdesktop,process,1024,21.02,114.938,host_process_tree_rss
2026-06-11T09:50:07Z,m1_dockerdesktop,process,1024,22.02,114.938,host_process_tree_rss
2026-06-11T09:50:08Z,m1_dockerdesktop,process,1024,23.01,114.938,host_process_tree_rss
2026-06-11T09:50:09Z,m1_dockerdesktop,process,1024,24.02,114.938,host_process_tree_rss
2026-06-11T09:50:10Z,m1_dockerdesktop,process,1024,25.01,114.938,host_process_tree_rss
2026-06-11T09:50:11Z,m1_dockerdesktop,process,1024,26.01,113.453,host_process_tree_rss
2026-06-11T09:50:12Z,m1_dockerdesktop,process,1024,27.01,113.453,host_process_tree_rss
2026-06-11T09:50:13Z,m1_dockerdesktop,process,1024,28.01,113.453,host_process_tree_rss
2026-06-11T09:50:14Z,m1_dockerdesktop,process,1024,29.01,113.453,host_process_tree_rss
2026-06-11T09:50:15Z,m1_dockerdesktop,process,1024,30.01,113.453,host_process_tree_rss
2026-06-11T09:50:16Z,m1_dockerdesktop,process,1024,31.01,113.453,host_process_tree_rss
2026-06-11T09:50:17Z,m1_dockerdesktop,process,1024,32.01,113.453,host_process_tree_rss
2026-06-11T09:50:18Z,m1_dockerdesktop,process,1024,33.01,113.469,host_process_tree_rss
2026-06-11T09:50:19Z,m1_dockerdesktop,process,1024,34.01,113.484,host_process_tree_rss
2026-06-11T09:50:20Z,m1_dockerdesktop,process,1024,35.01,113.484,host_process_tree_rss
2026-06-11T09:50:21Z,m1_dockerdesktop,process,1024,36.01,113.484,host_process_tree_rss
2026-06-11T09:50:22Z,m1_dockerdesktop,process,1024,37.01,113.484,host_process_tree_rss
2026-06-11T09:50:23Z,m1_dockerdesktop,process,1024,38.01,113.484,host_process_tree_rss
2026-06-11T09:50:24Z,m1_dockerdesktop,process,1024,39.01,112.578,host_process_tree_rss
