platform,mode,payload_size_kb,concurrency_level,run_id,total_requests,total_time_s,throughput_req_per_sec
m1_dockerdesktop,process,1,10,1,1000,0.638544,1566.06218
m1_dockerdesktop,process,1,10,2,1000,0.668694,1495.451585
m1_dockerdesktop,process,1,10,3,1000,0.658101,1519.524273
m1_dockerdesktop,process,1,10,4,1000,0.660186,1514.723874
m1_dockerdesktop,process,1,10,5,1000,0.740471,1350.491933
m1_dockerdesktop,process,1,10,6,1000,0.661611,1511.461888
m1_dockerdesktop,process,1,10,7,1000,0.881994,1133.7944
m1_dockerdesktop,process,1,10,8,1000,0.677651,1475.686134
m1_dockerdesktop,process,1,10,9,1000,0.750723,1332.049754
m1_dockerdesktop,process,1,10,10,1000,0.670505,1491.412448
m1_dockerdesktop,process,1,50,1,1000,0.673331,1485.152651
m1_dockerdesktop,process,1,50,2,1000,0.901332,1109.468737
m1_dockerdesktop,process,1,50,3,1000,0.693664,1441.620236
m1_dockerdesktop,process,1,50,4,1000,0.682536,1465.123647
m1_dockerdesktop,process,1,50,5,1000,0.688994,1451.391626
m1_dockerdesktop,process,1,50,6,1000,0.661824,1510.976013
m1_dockerdesktop,process,1,50,7,1000,0.656863,1522.387566
m1_dockerdesktop,process,1,50,8,1000,0.661856,1510.903338
m1_dockerdesktop,process,1,50,9,1000,0.665934,1501.649468
m1_dockerdesktop,process,1,50,10,1000,0.785009,1273.870002
m1_dockerdesktop,process,1,100,1,1000,0.702468,1423.55163
m1_dockerdesktop,process,1,100,2,1000,0.68085,1468.751755
m1_dockerdesktop,process,1,100,3,1000,0.758109,1319.071894
m1_dockerdesktop,process,1,100,4,1000,0.676798,1477.546556
m1_dockerdesktop,process,1,100,5,1000,0.671245,1489.768456
m1_dockerdesktop,process,1,100,6,1000,0.688899,1451.592474
m1_dockerdesktop,process,1,100,7,1000,0.744126,1343.858884
m1_dockerdesktop,process,1,100,8,1000,0.682907,1464.329214
m1_dockerdesktop,process,1,100,9,1000,0.795918,1256.410836
m1_dockerdesktop,process,1,100,10,1000,0.670807,1490.741935
m1_dockerdesktop,process,10,10,1,1000,0.659134,1517.141614
m1_dockerdesktop,process,10,10,2,1000,0.661837,1510.945478
m1_dockerdesktop,process,10,10,3,1000,0.65825,1519.179354
m1_dockerdesktop,process,10,10,4,1000,0.680316,1469.904712
m1_dockerdesktop,process,10,10,5,1000,0.66316,1507.931152
m1_dockerdesktop,process,10,10,6,1000,0.667078,1499.074134
m1_dockerdesktop,process,10,10,7,1000,0.660045,1515.047643
m1_dockerdesktop,process,10,10,8,1000,0.659696,1515.84896
m1_dockerdesktop,process,10,10,9,1000,0.664091,1505.817632
m1_dockerdesktop,process,10,10,10,1000,0.661455,1511.818738
m1_dockerdesktop,process,10,50,1,1000,0.667948,1497.121782
m1_dockerdesktop,process,10,50,2,1000,0.665388,1502.881494
m1_dockerdesktop,process,10,50,3,1000,0.773658,1292.560587
m1_dockerdesktop,process,10,50,4,1000,0.664185,1505.604142
m1_dockerdesktop,process,10,50,5,1000,0.668017,1496.966863
m1_dockerdesktop,process,10,50,6,1000,0.660627,1513.71387
m1_dockerdesktop,process,10,50,7,1000,0.689996,1449.283764
m1_dockerdesktop,process,10,50,8,1000,0.659438,1516.441927
m1_dockerdesktop,process,10,50,9,1000,0.661572,1511.551275
m1_dockerdesktop,process,10,50,10,1000,0.662258,1509.986011
m1_dockerdesktop,process,10,100,1,1000,0.673982,1483.720066
m1_dockerdesktop,process,10,100,2,1000,0.667634,1497.827495
m1_dockerdesktop,process,10,100,3,1000,0.674505,1482.569248
m1_dockerdesktop,process,10,100,4,1000,0.679827,1470.962104
m1_dockerdesktop,process,10,100,5,1000,0.637887,1567.6766
m1_dockerdesktop,process,10,100,6,1000,0.677049,1476.997699
m1_dockerdesktop,process,10,100,7,1000,0.669693,1493.221149
m1_dockerdesktop,process,10,100,8,1000,0.66795,1497.117487
m1_dockerdesktop,process,10,100,9,1000,0.669648,1493.321307
m1_dockerdesktop,process,10,100,10,1000,0.672086,1487.903898
m1_dockerdesktop,process,100,10,1,1000,0.85381,1171.220534
m1_dockerdesktop,process,100,10,2,1000,0.686247,1457.201888
m1_dockerdesktop,process,100,10,3,1000,0.681493,1467.365786
m1_dockerdesktop,process,100,10,4,1000,0.670133,1492.240627
m1_dockerdesktop,process,100,10,5,1000,0.684434,1461.061878
m1_dockerdesktop,process,100,10,6,1000,0.685529,1458.727936
m1_dockerdesktop,process,100,10,7,1000,0.690658,1447.894793
m1_dockerdesktop,process,100,10,8,1000,0.681593,1467.15068
m1_dockerdesktop,process,100,10,9,1000,0.676564,1478.05668
m1_dockerdesktop,process,100,10,10,1000,0.624316,1601.753705
m1_dockerdesktop,process,100,50,1,1000,0.65512,1526.439069
m1_dockerdesktop,process,100,50,2,1000,0.663354,1507.490153
m1_dockerdesktop,process,100,50,3,1000,0.646948,1545.719584
m1_dockerdesktop,process,100,50,4,1000,0.649636,1539.324055
m1_dockerdesktop,process,100,50,5,1000,0.6564,1523.460531
m1_dockerdesktop,process,100,50,6,1000,0.649117,1540.553729
m1_dockerdesktop,process,100,50,7,1000,0.653782,1529.561744
m1_dockerdesktop,process,100,50,8,1000,0.65265,1532.214619
m1_dockerdesktop,process,100,50,9,1000,0.654997,1526.725132
m1_dockerdesktop,process,100,50,10,1000,0.650385,1537.550443
m1_dockerdesktop,process,100,100,1,1000,0.656495,1523.241523
m1_dockerdesktop,process,100,100,2,1000,0.651135,1535.78042
m1_dockerdesktop,process,100,100,3,1000,0.655305,1526.007847
m1_dockerdesktop,process,100,100,4,1000,0.648994,1540.847085
m1_dockerdesktop,process,100,100,5,1000,0.65106,1535.957533
m1_dockerdesktop,process,100,100,6,1000,0.648534,1541.938512
m1_dockerdesktop,process,100,100,7,1000,0.650762,1536.660594
m1_dockerdesktop,process,100,100,8,1000,0.65336,1530.55075
m1_dockerdesktop,process,100,100,9,1000,0.650534,1537.197785
m1_dockerdesktop,process,100,100,10,1000,0.654309,1528.329011
m1_dockerdesktop,process,1024,10,1,1000,1.581433,632.338036
m1_dockerdesktop,process,1024,10,2,1000,1.61505,619.176052
