platform,mode,payload_size_kb,concurrency_level,mean_throughput,std_throughput,p5_throughput,p95_throughput
m1_dockerdesktop,container,1,10,1319.783324,26.448365,1277.406945,1348.057677
m1_dockerdesktop,container,1,50,1345.302501,36.038859,1300.725523,1397.493953
m1_dockerdesktop,container,1,100,1340.983355,34.427306,1291.394664,1382.303412
m1_dockerdesktop,container,10,10,1285.482638,41.809731,1234.523756,1340.736769
m1_dockerdesktop,container,10,50,1332.345044,38.57468,1282.39295,1384.802517
m1_dockerdesktop,container,10,100,1338.502383,23.558552,1307.131848,1366.488699
m1_dockerdesktop,container,100,10,1088.083119,54.307755,992.407662,1130.282431
m1_dockerdesktop,container,100,50,1177.657124,54.092048,1086.117686,1228.422305
m1_dockerdesktop,container,100,100,1217.546322,32.363519,1183.065669,1259.795747
m1_dockerdesktop,container,1024,10,241.857353,25.182899,204.644181,270.046504
m1_dockerdesktop,container,1024,50,248.0295,34.320273,193.147787,282.239113
m1_dockerdesktop,container,1024,100,275.891728,35.772235,231.372969,319.072663
m1_dockerdesktop,process,1,10,1439.065847,130.518604,1223.009309,1545.120122
m1_dockerdesktop,process,1,50,1427.254328,132.782684,1183.449306,1517.252367
m1_dockerdesktop,process,1,100,1418.562363,82.503114,1284.608312,1490.303869
m1_dockerdesktop,process,10,10,1507.270942,14.42781,1483.030952,1518.262371
m1_dockerdesktop,process,10,50,1479.611171,68.47137,1363.086017,1515.214301
m1_dockerdesktop,process,10,100,1495.131705,26.944787,1473.678122,1536.244503
m1_dockerdesktop,process,100,10,1450.267451,107.583801,1295.723951,1552.47282
m1_dockerdesktop,process,100,50,1530.903906,10.914937,1514.676823,1543.394949
m1_dockerdesktop,process,100,100,1533.651106,6.295223,1524.486369,1541.44737
m1_dockerdesktop,process,1024,10,617.003213,6.790079,610.254218,628.076116
m1_dockerdesktop,process,1024,50,736.439725,14.986767,710.312832,749.938696
m1_dockerdesktop,process,1024,100,760.781298,3.692573,755.636127,765.302174
