platform,mode,payload_size_kb,concurrency_level,total_requests,total_time_s,throughput_req_per_sec
m1_dockerdesktop,process,1,10,1000,0.62202,1607.666
m1_dockerdesktop,process,1,50,1000,0.646667,1546.392
m1_dockerdesktop,process,1,100,1000,0.648146,1542.862
m1_dockerdesktop,process,10,10,1000,0.60666,1648.371
m1_dockerdesktop,process,10,50,1000,0.637873,1567.71
m1_dockerdesktop,process,10,100,1000,0.675058,1481.354
m1_dockerdesktop,process,100,10,1000,0.649126,1540.533
m1_dockerdesktop,process,100,50,1000,0.663277,1507.667
m1_dockerdesktop,process,100,100,1000,0.673185,1485.475
m1_dockerdesktop,process,1024,10,1000,0.977924,1022.575
m1_dockerdesktop,process,1024,50,1000,0.93124,1073.838
m1_dockerdesktop,process,1024,100,1000,0.908325,1100.927
m1_dockerdesktop,container,1,10,1000,0.758593,1318.231
m1_dockerdesktop,container,1,50,1000,0.762753,1311.041
m1_dockerdesktop,container,1,100,1000,0.785178,1273.596
m1_dockerdesktop,container,10,10,1000,0.756317,1322.197
m1_dockerdesktop,container,10,50,1000,0.795073,1257.746
m1_dockerdesktop,container,10,100,1000,0.783549,1276.244
m1_dockerdesktop,container,100,10,1000,0.887675,1126.539
m1_dockerdesktop,container,100,50,1000,0.835194,1197.327
m1_dockerdesktop,container,100,100,1000,0.856522,1167.512
m1_dockerdesktop,container,1024,10,1000,4.652137,214.955
m1_dockerdesktop,container,1024,50,1000,6.636149,150.69
m1_dockerdesktop,container,1024,100,1000,3.080832,324.588
