platform,mode,payload_size_kb,concurrency_level,run_id,total_requests,total_time_s,throughput_req_per_sec
m1_dockerdesktop,process,1,10,1,1000,0.700256,1428.049511
m1_dockerdesktop,process,1,10,2,1000,0.585536,1707.836073
m1_dockerdesktop,process,1,10,3,1000,0.629708,1588.037421
m1_dockerdesktop,process,1,10,4,1000,0.648308,1542.477119
m1_dockerdesktop,process,1,10,5,1000,0.622322,1606.88615
m1_dockerdesktop,process,1,10,6,1000,0.648661,1541.637411
m1_dockerdesktop,process,1,10,7,1000,0.623736,1603.242184
m1_dockerdesktop,process,1,10,8,1000,0.581258,1720.406059
m1_dockerdesktop,process,1,10,9,1000,0.620941,1610.457668
m1_dockerdesktop,process,1,10,10,1000,0.614358,1627.714112
m1_dockerdesktop,process,1,50,1,1000,0.659247,1516.88214
m1_dockerdesktop,process,1,50,2,1000,0.617662,1619.009765
m1_dockerdesktop,process,1,50,3,1000,0.608006,1644.721398
m1_dockerdesktop,process,1,50,4,1000,0.648441,1542.16134
m1_dockerdesktop,process,1,50,5,1000,0.635781,1572.867613
m1_dockerdesktop,process,1,50,6,1000,0.619932,1613.081445
m1_dockerdesktop,process,1,50,7,1000,0.645888,1548.255246
m1_dockerdesktop,process,1,50,8,1000,0.607375,1646.429079
m1_dockerdesktop,process,1,50,9,1000,0.578009,1730.077864
m1_dockerdesktop,process,1,50,10,1000,0.822156,1216.314918
m1_dockerdesktop,process,1,100,1,1000,0.634702,1575.543779
m1_dockerdesktop,process,1,100,2,1000,0.625032,1599.917444
m1_dockerdesktop,process,1,100,3,1000,0.634571,1575.868
m1_dockerdesktop,process,1,100,4,1000,0.629396,1588.825894
m1_dockerdesktop,process,1,100,5,1000,0.61962,1613.893037
m1_dockerdesktop,process,1,100,6,1000,0.654662,1527.505993
m1_dockerdesktop,process,1,100,7,1000,0.613224,1630.726586
m1_dockerdesktop,process,1,100,8,1000,0.654716,1527.37884
m1_dockerdesktop,process,1,100,9,1000,0.618399,1617.077851
m1_dockerdesktop,process,1,100,10,1000,0.730067,1369.738157
m1_dockerdesktop,process,10,10,1,1000,0.6442,1552.313048
m1_dockerdesktop,process,10,10,2,1000,0.624348,1601.670006
m1_dockerdesktop,process,10,10,3,1000,0.610687,1637.498833
m1_dockerdesktop,process,10,10,4,1000,0.610412,1638.237555
m1_dockerdesktop,process,10,10,5,1000,0.858167,1165.274528
m1_dockerdesktop,process,10,10,6,1000,0.649862,1538.788531
m1_dockerdesktop,process,10,10,7,1000,0.785364,1273.294323
m1_dockerdesktop,process,10,10,8,1000,0.700997,1426.538866
m1_dockerdesktop,process,10,10,9,1000,0.797896,1253.29643
m1_dockerdesktop,process,10,10,10,1000,0.629995,1587.31513
