platform,mode,payload_size_kb,concurrency_level,mean_throughput,std_throughput,p5_throughput,p95_throughput
m1_dockerdesktop,container,1,10,1257.50266,162.868015,996.43753,1378.972561
m1_dockerdesktop,container,1,50,1221.35951,174.057058,994.629768,1419.688698
m1_dockerdesktop,container,1,100,1359.716389,69.36641,1252.740214,1428.761029
m1_dockerdesktop,container,10,10,1109.391981,266.12515,665.038368,1361.887547
m1_dockerdesktop,container,10,50,1097.270174,202.386721,779.180634,1290.838022
m1_dockerdesktop,container,10,100,1210.769807,83.190118,1098.415979,1312.976833
m1_dockerdesktop,container,100,10,1004.47524,60.621256,924.809129,1081.766776
m1_dockerdesktop,container,100,50,1133.859309,92.095247,1000.399821,1227.036585
m1_dockerdesktop,container,100,100,1159.792575,116.69883,962.643351,1255.647599
m1_dockerdesktop,container,1024,10,208.696453,21.119782,185.049292,240.724325
m1_dockerdesktop,container,1024,50,267.843421,46.776829,204.02946,337.802968
m1_dockerdesktop,container,1024,100,285.25835,27.162882,253.844513,329.985658
m1_dockerdesktop,process,1,10,1597.674371,83.952808,1479.164066,1714.749565
m1_dockerdesktop,process,1,50,1564.980081,137.528292,1351.570168,1692.435911
m1_dockerdesktop,process,1,100,1562.647558,76.253817,1440.676464,1624.584655
m1_dockerdesktop,process,10,10,1467.422725,176.162956,1204.884384,1637.90513
m1_dockerdesktop,process,10,50,1558.103167,115.470724,1351.152296,1644.549592
m1_dockerdesktop,process,10,100,1578.243707,145.761731,1315.48724,1695.837653
m1_dockerdesktop,process,100,10,1625.54775,42.121942,1584.998393,1693.782425
m1_dockerdesktop,process,100,50,1520.762081,317.99861,1036.237599,1655.312096
m1_dockerdesktop,process,100,100,1591.365538,109.143679,1407.401432,1652.572455
m1_dockerdesktop,process,1024,10,780.773167,40.389423,708.501771,819.275693
m1_dockerdesktop,process,1024,50,989.567013,35.774608,933.193398,1025.945109
m1_dockerdesktop,process,1024,100,944.80644,60.905158,865.352352,1016.463355
