timestamp,mode,elapsed_s,memory_mb,measurement_scope
2026-04-16T16:17:32.309,process,0.01,45.39,host_process_tree_rss
2026-04-16T16:17:33.316,process,1.01,45.39,host_process_tree_rss
2026-04-16T16:17:34.324,process,2.02,45.16,host_process_tree_rss
2026-04-16T16:17:35.338,process,3.03,41.05,host_process_tree_rss
2026-04-16T16:17:36.342,process,4.04,38.19,host_process_tree_rss
2026-04-16T16:17:37.348,process,5.04,37.81,host_process_tree_rss
2026-04-16T16:17:38.359,process,6.06,37.81,host_process_tree_rss
2026-04-16T16:17:39.373,process,7.07,37.83,host_process_tree_rss
2026-04-16T16:17:40.400,process,8.1,37.83,host_process_tree_rss
2026-04-16T16:17:41.414,process,9.11,37.83,host_process_tree_rss
2026-04-16T16:17:42.427,process,10.12,37.83,host_process_tree_rss
2026-04-16T16:17:43.433,process,11.13,33.34,host_process_tree_rss
2026-04-16T16:17:44.441,process,12.14,33.34,host_process_tree_rss
2026-04-16T16:17:45.454,process,13.15,33.34,host_process_tree_rss
2026-04-16T16:17:46.469,process,14.17,33.33,host_process_tree_rss
2026-04-16T16:17:47.480,process,15.18,33.33,host_process_tree_rss
2026-04-16T16:17:48.493,process,16.19,33.34,host_process_tree_rss
2026-04-16T16:17:49.498,process,17.19,32.81,host_process_tree_rss
2026-04-16T16:17:50.502,process,18.2,32.8,host_process_tree_rss
2026-04-16T16:17:51.506,process,19.2,32.77,host_process_tree_rss
2026-04-16T16:17:52.519,process,20.22,31.11,host_process_tree_rss
2026-04-16T16:17:53.557,process,21.25,31.12,host_process_tree_rss
2026-04-16T16:17:54.590,process,22.29,29.66,host_process_tree_rss
2026-04-16T16:17:55.618,process,23.32,29.66,host_process_tree_rss
2026-04-16T16:17:56.627,process,24.32,15.38,host_process_tree_rss
2026-04-16T16:17:57.656,process,25.35,13.06,host_process_tree_rss
2026-04-16T16:17:58.664,process,26.36,13.06,host_process_tree_rss
2026-04-16T16:17:59.686,process,27.38,13.05,host_process_tree_rss
2026-04-16T16:18:00.692,process,28.39,13.09,host_process_tree_rss
2026-04-16T16:18:01.706,process,29.4,13.09,host_process_tree_rss
