platform,mode,payload_size_kb,concurrency_level,run_id,total_requests,total_time_s,throughput_req_per_sec
m1_dockerdesktop,process,1,10,1,1000,0.709484,1409.475137
m1_dockerdesktop,process,1,10,2,1000,0.848118,1179.081154
m1_dockerdesktop,process,1,10,3,1000,0.712307,1403.888314
m1_dockerdesktop,process,1,10,4,1000,0.688921,1451.544802
m1_dockerdesktop,process,1,10,5,1000,0.701441,1425.637416
m1_dockerdesktop,process,1,10,6,1000,0.698873,1430.875479
m1_dockerdesktop,process,1,10,7,1000,0.738636,1353.846439
m1_dockerdesktop,process,1,10,8,1000,0.748255,1336.44279
m1_dockerdesktop,process,1,10,9,1000,0.755675,1323.319992
m1_dockerdesktop,process,1,10,10,1000,0.813669,1229.000416
m1_dockerdesktop,process,1,50,1,1000,0.711929,1404.634861
m1_dockerdesktop,process,1,50,2,1000,0.685182,1459.465179
m1_dockerdesktop,process,1,50,3,1000,0.70261,1423.265191
m1_dockerdesktop,process,1,50,4,1000,0.682065,1466.134939
m1_dockerdesktop,process,1,50,5,1000,0.73011,1369.656862
m1_dockerdesktop,process,1,50,6,1000,0.677576,1475.849476
m1_dockerdesktop,process,1,50,7,1000,0.718132,1392.502626
m1_dockerdesktop,process,1,50,8,1000,0.713234,1402.06358
m1_dockerdesktop,process,1,50,9,1000,0.678829,1473.125315
m1_dockerdesktop,process,1,50,10,1000,0.688985,1451.409706
m1_dockerdesktop,process,1,100,1,1000,0.687463,1454.623297
m1_dockerdesktop,process,1,100,2,1000,0.709256,1409.927405
m1_dockerdesktop,process,1,100,3,1000,0.676174,1478.909548
m1_dockerdesktop,process,1,100,4,1000,0.691413,1446.314174
m1_dockerdesktop,process,1,100,5,1000,0.708604,1411.225784
m1_dockerdesktop,process,1,100,6,1000,0.680163,1470.235811
m1_dockerdesktop,process,1,100,7,1000,0.682412,1465.390229
m1_dockerdesktop,process,1,100,8,1000,0.678515,1473.807764
m1_dockerdesktop,process,1,100,9,1000,0.676034,1479.214632
m1_dockerdesktop,process,1,100,10,1000,0.679462,1471.752469
m1_dockerdesktop,process,10,10,1,1000,0.665109,1503.511923
m1_dockerdesktop,process,10,10,2,1000,0.698502,1431.634785
m1_dockerdesktop,process,10,10,3,1000,0.693192,1442.602456
m1_dockerdesktop,process,10,10,4,1000,0.785305,1273.390931
m1_dockerdesktop,process,10,10,5,1000,0.694583,1439.712661
m1_dockerdesktop,process,10,10,6,1000,0.708201,1412.028674
m1_dockerdesktop,process,10,10,7,1000,0.714035,1400.491492
m1_dockerdesktop,process,10,10,8,1000,0.708177,1412.076194
m1_dockerdesktop,process,10,10,9,1000,0.70317,1422.130868
m1_dockerdesktop,process,10,10,10,1000,0.709867,1408.71459
m1_dockerdesktop,process,10,50,1,1000,0.686789,1456.051717
m1_dockerdesktop,process,10,50,2,1000,0.707997,1412.435531
m1_dockerdesktop,process,10,50,3,1000,0.686912,1455.791525
m1_dockerdesktop,process,10,50,4,1000,0.681191,1468.016687
m1_dockerdesktop,process,10,50,5,1000,0.696796,1435.141128
m1_dockerdesktop,process,10,50,6,1000,0.679531,1471.60375
m1_dockerdesktop,process,10,50,7,1000,0.680456,1469.602106
m1_dockerdesktop,process,10,50,8,1000,0.673926,1483.842898
m1_dockerdesktop,process,10,50,9,1000,0.678801,1473.1859
m1_dockerdesktop,process,10,50,10,1000,0.692654,1443.722869
m1_dockerdesktop,process,10,100,1,1000,0.725591,1378.186963
m1_dockerdesktop,process,10,100,2,1000,0.701062,1426.407788
m1_dockerdesktop,process,10,100,3,1000,0.737528,1355.881186
m1_dockerdesktop,process,10,100,4,1000,0.794001,1259.444589
m1_dockerdesktop,process,10,100,5,1000,0.700074,1428.420424
m1_dockerdesktop,process,10,100,6,1000,0.695012,1438.824941
m1_dockerdesktop,process,10,100,7,1000,0.694689,1439.493327
m1_dockerdesktop,process,10,100,8,1000,0.691583,1445.95839
m1_dockerdesktop,process,10,100,9,1000,0.683365,1463.346285
m1_dockerdesktop,process,10,100,10,1000,0.683322,1463.43855
m1_dockerdesktop,process,100,10,1,1000,0.736381,1357.993361
m1_dockerdesktop,process,100,10,2,1000,0.751895,1329.972935
m1_dockerdesktop,process,100,10,3,1000,0.747863,1337.143449
m1_dockerdesktop,process,100,10,4,1000,0.763618,1309.555229
m1_dockerdesktop,process,100,10,5,1000,0.757461,1320.200348
m1_dockerdesktop,process,100,10,6,1000,0.752521,1328.866128
