platform,mode,payload_size_kb,concurrency_level,mean_throughput,std_throughput,p5_throughput,p95_throughput
m1_dockerdesktop,container,1,10,1157.063744,49.1692,1086.06463,1221.895755
m1_dockerdesktop,container,1,50,1271.028457,41.390033,1218.670697,1323.017335
m1_dockerdesktop,container,1,100,1225.788888,72.321004,1119.354368,1317.157848
m1_dockerdesktop,container,10,10,1025.205508,112.07328,858.187293,1163.117633
m1_dockerdesktop,container,10,50,1064.609328,149.441729,843.162594,1228.384647
m1_dockerdesktop,container,10,100,1128.126632,142.768215,881.209407,1243.066139
m1_dockerdesktop,container,100,10,851.141174,22.555918,814.81219,877.299386
m1_dockerdesktop,container,100,50,1005.616924,63.136711,922.451111,1071.799747
m1_dockerdesktop,container,100,100,1038.579366,72.281223,950.184874,1137.374082
m1_dockerdesktop,container,1024,10,254.464718,21.358309,227.451546,286.926788
m1_dockerdesktop,container,1024,50,219.781819,53.993082,142.508228,282.750119
m1_dockerdesktop,container,1024,100,287.432096,139.988579,30.018364,400.121709
m1_dockerdesktop,process,1,10,1354.311194,90.426861,1201.544822,1442.243607
m1_dockerdesktop,process,1,50,1431.810774,38.119728,1379.937456,1474.623604
m1_dockerdesktop,process,1,100,1456.140111,26.12531,1410.511676,1479.077344
m1_dockerdesktop,process,10,10,1414.629457,57.594052,1330.586183,1476.102663
m1_dockerdesktop,process,10,50,1456.939411,21.39154,1422.65305,1479.047249
m1_dockerdesktop,process,10,100,1409.940244,63.167839,1302.841058,1463.397031
m1_dockerdesktop,process,100,10,1333.596573,13.2611,1314.345533,1351.154083
m1_dockerdesktop,process,100,50,1451.61856,8.757127,1438.627137,1463.403397
m1_dockerdesktop,process,100,100,1460.418766,10.719369,1446.516601,1475.883456
m1_dockerdesktop,process,1024,10,648.873573,15.364648,624.241181,661.661042
m1_dockerdesktop,process,1024,50,787.292907,13.292705,770.101718,806.687077
m1_dockerdesktop,process,1024,100,803.796619,10.492787,789.183001,818.062616
