timestamp,mode,elapsed_s,memory_mb
2026-04-16T14:28:29.505,container,1.57,30.19
2026-04-16T14:28:32.080,container,4.14,30.18
2026-04-16T14:28:34.637,container,6.7,29.94
2026-04-16T14:28:37.218,container,9.28,29.94
2026-04-16T14:28:40.323,container,12.38,29.93
2026-04-16T14:28:42.906,container,14.97,29.93
2026-04-16T14:28:45.487,container,17.55,29.93
2026-04-16T14:28:48.050,container,20.11,29.93
2026-04-16T14:28:51.099,container,23.16,29.93
2026-04-16T14:28:53.657,container,25.72,29.93
2026-04-16T14:28:56.199,container,28.26,29.93
2026-04-16T14:28:58.753,container,30.81,29.93
