timestamp,mode,elapsed_s,memory_mb
2026-04-16T14:27:56.973,process,0.01,49.92
2026-04-16T14:27:57.988,process,1.02,49.97
2026-04-16T14:27:59.004,process,2.04,49.98
2026-04-16T14:28:00.027,process,3.06,50.0
2026-04-16T14:28:01.043,process,4.07,50.0
2026-04-16T14:28:02.058,process,5.09,50.0
2026-04-16T14:28:03.074,process,6.11,50.0
2026-04-16T14:28:04.086,process,7.12,50.0
2026-04-16T14:28:05.104,process,8.14,50.0
2026-04-16T14:28:06.121,process,9.15,50.0
2026-04-16T14:28:07.136,process,10.17,50.0
2026-04-16T14:28:08.148,process,11.18,50.0
2026-04-16T14:28:09.160,process,12.19,50.0
2026-04-16T14:28:10.176,process,13.21,50.0
2026-04-16T14:28:11.192,process,14.22,50.0
2026-04-16T14:28:12.208,process,15.24,50.0
2026-04-16T14:28:13.222,process,16.25,50.0
2026-04-16T14:28:14.240,process,17.27,50.0
2026-04-16T14:28:15.255,process,18.29,49.09
2026-04-16T14:28:16.272,process,19.3,49.09
2026-04-16T14:28:17.286,process,20.32,48.92
2026-04-16T14:28:18.302,process,21.33,48.92
2026-04-16T14:28:19.318,process,22.35,48.92
2026-04-16T14:28:20.334,process,23.37,48.92
2026-04-16T14:28:21.348,process,24.38,48.92
2026-04-16T14:28:22.363,process,25.4,48.92
2026-04-16T14:28:23.377,process,26.41,46.97
2026-04-16T14:28:24.392,process,27.42,46.97
2026-04-16T14:28:25.406,process,28.44,46.97
2026-04-16T14:28:26.421,process,29.45,46.97
