platform,mode,payload_size_kb,concurrency_level,total_requests,total_time_s,throughput_req_per_sec
m1_dockerdesktop,process,1,10,1000,0.674153,1483.342
m1_dockerdesktop,process,1,50,1000,0.695185,1438.466
m1_dockerdesktop,process,1,100,1000,0.724364,1380.521
m1_dockerdesktop,process,10,10,1000,0.6869,1455.816
m1_dockerdesktop,process,10,50,1000,0.696266,1436.233
m1_dockerdesktop,process,10,100,1000,0.705087,1418.264
m1_dockerdesktop,process,100,10,1000,0.690063,1449.143
m1_dockerdesktop,process,100,50,1000,0.711332,1405.814
m1_dockerdesktop,process,100,100,1000,0.730846,1368.278
m1_dockerdesktop,process,1024,10,1000,1.248451,800.992
m1_dockerdesktop,process,1024,50,1000,1.0499,952.471
m1_dockerdesktop,process,1024,100,1000,1.028161,972.61
m1_dockerdesktop,container,1,10,1000,0.810615,1233.631
m1_dockerdesktop,container,1,50,1000,0.801146,1248.212
m1_dockerdesktop,container,1,100,1000,0.779298,1283.205
m1_dockerdesktop,container,10,10,1000,0.77241,1294.649
m1_dockerdesktop,container,10,50,1000,0.761493,1313.209
m1_dockerdesktop,container,10,100,1000,0.778532,1284.468
m1_dockerdesktop,container,100,10,1000,0.89213,1120.913
m1_dockerdesktop,container,100,50,1000,0.800758,1248.816
m1_dockerdesktop,container,100,100,1000,0.80442,1243.131
m1_dockerdesktop,container,1024,10,1000,6.729991,148.589
m1_dockerdesktop,container,1024,50,1000,6.315939,158.33
m1_dockerdesktop,container,1024,100,1000,4.329204,230.989
