platform,mode,payload_size_kb,concurrency_level,total_requests,total_time_s,throughput_req_per_sec
m1_dockerdesktop,process,1,10,1000,52.446977,19.067
m1_dockerdesktop,process,1,50,1000,35.378409,28.266
m1_dockerdesktop,process,1,100,1000,33.792942,29.592
m1_dockerdesktop,process,10,10,1000,41.685384,23.989
m1_dockerdesktop,process,10,50,1000,35.205606,28.405
m1_dockerdesktop,process,10,100,1000,33.446782,29.898
m1_dockerdesktop,process,100,10,1000,45.13193,22.157
m1_dockerdesktop,process,100,50,1000,31.259071,31.991
m1_dockerdesktop,process,100,100,1000,28.415355,35.192
m1_dockerdesktop,process,1024,10,1000,42.039696,23.787
m1_dockerdesktop,process,1024,50,1000,33.285622,30.043
m1_dockerdesktop,process,1024,100,1000,33.238533,30.086
m1_dockerdesktop,container,1,10,1000,33.691489,29.681
m1_dockerdesktop,container,1,50,1000,26.411977,37.862
m1_dockerdesktop,container,1,100,1000,26.674435,37.489
m1_dockerdesktop,container,10,10,1000,34.854944,28.69
m1_dockerdesktop,container,10,50,1000,31.728011,31.518
m1_dockerdesktop,container,10,100,1000,30.285822,33.019
m1_dockerdesktop,container,100,10,1000,29.488352,33.912
m1_dockerdesktop,container,100,50,1000,30.992255,32.266
m1_dockerdesktop,container,100,100,1000,28.127097,35.553
m1_dockerdesktop,container,1024,10,1000,35.64248,28.056
m1_dockerdesktop,container,1024,50,1000,32.18317,31.072
m1_dockerdesktop,container,1024,100,1000,33.47033,29.877
