platform,mode,payload_size_kb,concurrency_level,total_requests,total_time_s,throughput_req_per_sec
m1_dockerdesktop,process,1,10,1000,1.033714,967.386
m1_dockerdesktop,process,1,50,1000,0.805209,1241.914
m1_dockerdesktop,process,1,100,1000,0.849534,1177.116
m1_dockerdesktop,process,10,10,1000,0.717667,1393.405
m1_dockerdesktop,process,10,50,1000,0.730195,1369.497
m1_dockerdesktop,process,10,100,1000,0.761929,1312.458
m1_dockerdesktop,process,100,10,1000,1.006069,993.967
m1_dockerdesktop,process,100,50,1000,1.086785,920.145
m1_dockerdesktop,process,100,100,1000,1.055069,947.805
m1_dockerdesktop,process,1024,10,1000,1.173877,851.878
m1_dockerdesktop,process,1024,50,1000,1.065077,938.899
m1_dockerdesktop,process,1024,100,1000,1.058821,944.447
m1_dockerdesktop,container,1,10,1000,0.9025,1108.033
m1_dockerdesktop,container,1,50,1000,0.806719,1239.589
m1_dockerdesktop,container,1,100,1000,0.912131,1096.334
m1_dockerdesktop,container,10,10,1000,0.87292,1145.581
m1_dockerdesktop,container,10,50,1000,0.783136,1276.918
m1_dockerdesktop,container,10,100,1000,0.775705,1289.15
m1_dockerdesktop,container,100,10,1000,1.002904,997.104
m1_dockerdesktop,container,100,50,1000,1.06429,939.593
m1_dockerdesktop,container,100,100,1000,0.87129,1147.723
m1_dockerdesktop,container,1024,10,1000,6.885459,145.234
m1_dockerdesktop,container,1024,50,1000,6.109231,163.687
m1_dockerdesktop,container,1024,100,1000,3.571757,279.974
