platform,mode,payload_size_kb,concurrency_level,total_requests,total_time_s,throughput_req_per_sec
m1_dockerdesktop,process,1,10,1000,0.654576,1527.706
m1_dockerdesktop,process,1,50,1000,0.659731,1515.77
m1_dockerdesktop,process,1,100,1000,0.703901,1420.654
m1_dockerdesktop,process,10,10,1000,0.630844,1585.179
m1_dockerdesktop,process,10,50,1000,0.660237,1514.608
m1_dockerdesktop,process,10,100,1000,0.675696,1479.956
m1_dockerdesktop,process,100,10,1000,0.703163,1422.144
m1_dockerdesktop,process,100,50,1000,0.721227,1386.526
m1_dockerdesktop,process,100,100,1000,0.733114,1364.044
m1_dockerdesktop,process,1024,10,1000,1.026484,974.199
m1_dockerdesktop,process,1024,50,1000,0.925514,1080.481
m1_dockerdesktop,process,1024,100,1000,0.957832,1044.024
m1_dockerdesktop,container,1,10,1000,0.827391,1208.619
m1_dockerdesktop,container,1,50,1000,0.798416,1252.48
m1_dockerdesktop,container,1,100,1000,0.764208,1308.544
m1_dockerdesktop,container,10,10,1000,0.908008,1101.312
m1_dockerdesktop,container,10,50,1000,1.38845,720.228
m1_dockerdesktop,container,10,100,1000,0.951495,1050.977
m1_dockerdesktop,container,100,10,1000,0.950328,1052.268
m1_dockerdesktop,container,100,50,1000,0.867664,1152.52
m1_dockerdesktop,container,100,100,1000,0.842568,1186.847
m1_dockerdesktop,container,1024,10,1000,7.332077,136.387
m1_dockerdesktop,container,1024,50,1000,5.945026,168.208
m1_dockerdesktop,container,1024,100,1000,4.003446,249.785
