mode,payload_size_kb,concurrency_level,total_requests,total_time_s,throughput_req_per_sec
process,1,10,1000,2.5617,390.366
process,1,50,1000,2.794498,357.846
process,1,100,1000,2.382533,419.721
process,10,10,1000,1.995874,501.034
process,10,50,1000,1.758556,568.648
process,10,100,1000,1.871103,534.444
process,100,10,1000,2.085643,479.468
process,100,50,1000,1.82653,547.486
process,100,100,1000,1.877616,532.59
process,1024,10,1000,3.453941,289.524
process,1024,50,1000,2.825234,353.953
process,1024,100,1000,2.635862,379.383
container,1,10,1000,2.80542,356.453
container,1,50,1000,2.491143,401.422
container,1,100,1000,2.660523,375.866
container,10,10,1000,2.553185,391.668
container,10,50,1000,2.37947,420.262
container,10,100,1000,2.535595,394.385
container,100,10,1000,2.676293,373.651
container,100,50,1000,2.407871,415.305
container,100,100,1000,2.378262,420.475
container,1024,10,1000,9.000439,111.106
container,1024,50,1000,7.303502,136.921
container,1024,100,1000,6.129749,163.139
